"nhom","cau_thieu_audio","locale","xac_nhan_tren_dien_thoai","duong_phat_TTS","nguon"
"MAIN theo màn hình","Bạn chọn một trong các lựa chọn trên màn hình nhé.","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"MAIN theo màn hình","Bạn muốn nghe lại, học câu tiếp theo, học câu trước hay dừng lại?","vi-VN","Có","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"MAIN theo màn hình","Bạn muốn nghe lại, nghe câu trước hay dừng lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"MAIN theo màn hình","Bạn muốn nghe lại, nghe câu trước, câu tiếp theo hay dừng lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Chọn Level / Chủ đề","Bắt đầu Level 1. Có 3 Chủ đề. Bạn chọn Chủ đề số mấy?","vi-VN","Có","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Chọn Level / Chủ đề","Bắt đầu Level 2. Có 3 Chủ đề. Bạn chọn Chủ đề số mấy?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Chọn Level / Chủ đề","Bắt đầu Level 3. Có 4 Chủ đề. Bạn chọn Chủ đề số mấy?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Chủ đề 1 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 1?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Chủ đề 10 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 10?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Chủ đề 2 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 2?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Chủ đề 3 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 3?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Chủ đề 4 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 4?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Chủ đề 5 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 5?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Chủ đề 6 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 6?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Chủ đề 7 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 7?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Chủ đề 8 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 8?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
